"class","age_class","gender","fec","deaths","week","pob","class2","date_plot"
"2","0-59","2",2020-03-12,0,11,555371,6,2020-03-12
"2","60-+","1",2020-03-12,0,11,176506,7,2020-03-12
"2","60-+","2",2020-03-12,0,11,126073,8,2020-03-12
"1","0-59","1",2020-03-13,0,11,4190359,1,2020-03-13
"1","0-59","2",2020-03-13,0,11,4074690,2,2020-03-13
"1","60-+","1",2020-03-13,0,11,557258,3,2020-03-13
"1","60-+","2",2020-03-13,0,11,500271,4,2020-03-13
"2","0-59","1",2020-03-13,0,11,624067,5,2020-03-13
"2","0-59","2",2020-03-13,0,11,555371,6,2020-03-13
"2","60-+","1",2020-03-13,0,11,176506,7,2020-03-13
"2","60-+","2",2020-03-13,0,11,126073,8,2020-03-13
"1","0-59","1",2020-03-14,0,11,4190359,1,2020-03-14
"1","0-59","2",2020-03-14,0,11,4074690,2,2020-03-14
"1","60-+","1",2020-03-14,0,11,557258,3,2020-03-14
"1","60-+","2",2020-03-14,0,11,500271,4,2020-03-14
"2","0-59","1",2020-03-14,0,11,624067,5,2020-03-14
"2","0-59","2",2020-03-14,0,11,555371,6,2020-03-14
"2","60-+","1",2020-03-14,0,11,176506,7,2020-03-14
"2","60-+","2",2020-03-14,0,11,126073,8,2020-03-14
"1","0-59","1",2020-03-15,0,11,4190359,1,2020-03-15
"1","0-59","2",2020-03-15,0,11,4074690,2,2020-03-15
"1","60-+","1",2020-03-15,1,11,557258,3,2020-03-15
"1","60-+","2",2020-03-15,0,11,500271,4,2020-03-15
"2","0-59","1",2020-03-15,0,11,624067,5,2020-03-15
"2","0-59","2",2020-03-15,0,11,555371,6,2020-03-15
"2","60-+","1",2020-03-15,0,11,176506,7,2020-03-15
"2","60-+","2",2020-03-15,0,11,126073,8,2020-03-15
"1","0-59","1",2020-03-16,0,12,4190359,1,2020-03-16
"1","0-59","2",2020-03-16,0,12,4074690,2,2020-03-16
"1","60-+","1",2020-03-16,0,12,557258,3,2020-03-16
"1","60-+","2",2020-03-16,0,12,500271,4,2020-03-16
"2","0-59","1",2020-03-16,0,12,624067,5,2020-03-16
"2","0-59","2",2020-03-16,0,12,555371,6,2020-03-16
"2","60-+","1",2020-03-16,0,12,176506,7,2020-03-16
"2","60-+","2",2020-03-16,0,12,126073,8,2020-03-16
"1","0-59","1",2020-03-17,0,12,4190359,1,2020-03-17
"1","0-59","2",2020-03-17,0,12,4074690,2,2020-03-17
"1","60-+","1",2020-03-17,0,12,557258,3,2020-03-17
"1","60-+","2",2020-03-17,0,12,500271,4,2020-03-17
"2","0-59","1",2020-03-17,0,12,624067,5,2020-03-17
"2","0-59","2",2020-03-17,0,12,555371,6,2020-03-17
"2","60-+","1",2020-03-17,0,12,176506,7,2020-03-17
"2","60-+","2",2020-03-17,0,12,126073,8,2020-03-17
"1","0-59","1",2020-03-18,0,12,4190359,1,2020-03-18
"1","0-59","2",2020-03-18,1,12,4074690,2,2020-03-18
"1","60-+","1",2020-03-18,0,12,557258,3,2020-03-18
"1","60-+","2",2020-03-18,0,12,500271,4,2020-03-18
"2","0-59","1",2020-03-18,0,12,624067,5,2020-03-18
"2","0-59","2",2020-03-18,0,12,555371,6,2020-03-18
"2","60-+","1",2020-03-18,0,12,176506,7,2020-03-18
"2","60-+","2",2020-03-18,0,12,126073,8,2020-03-18
"1","0-59","1",2020-03-19,0,12,4190359,1,2020-03-19
"1","0-59","2",2020-03-19,1,12,4074690,2,2020-03-19
"1","60-+","1",2020-03-19,0,12,557258,3,2020-03-19
"1","60-+","2",2020-03-19,0,12,500271,4,2020-03-19
"2","0-59","1",2020-03-19,0,12,624067,5,2020-03-19
"2","0-59","2",2020-03-19,0,12,555371,6,2020-03-19
"2","60-+","1",2020-03-19,0,12,176506,7,2020-03-19
"2","60-+","2",2020-03-19,1,12,126073,8,2020-03-19
"1","0-59","1",2020-03-20,0,12,4190359,1,2020-03-20
"1","0-59","2",2020-03-20,0,12,4074690,2,2020-03-20
"1","60-+","1",2020-03-20,0,12,557258,3,2020-03-20
"1","60-+","2",2020-03-20,0,12,500271,4,2020-03-20
"2","0-59","1",2020-03-20,0,12,624067,5,2020-03-20
"2","0-59","2",2020-03-20,0,12,555371,6,2020-03-20
"2","60-+","1",2020-03-20,1,12,176506,7,2020-03-20
"2","60-+","2",2020-03-20,0,12,126073,8,2020-03-20
"1","0-59","1",2020-03-21,0,12,4190359,1,2020-03-21
"1","0-59","2",2020-03-21,0,12,4074690,2,2020-03-21
"1","60-+","1",2020-03-21,0,12,557258,3,2020-03-21
"1","60-+","2",2020-03-21,1,12,500271,4,2020-03-21
"2","0-59","1",2020-03-21,0,12,624067,5,2020-03-21
"2","0-59","2",2020-03-21,0,12,555371,6,2020-03-21
"2","60-+","1",2020-03-21,0,12,176506,7,2020-03-21
"2","60-+","2",2020-03-21,0,12,126073,8,2020-03-21
"1","0-59","1",2020-03-22,1,12,4190359,1,2020-03-22
"1","0-59","2",2020-03-22,1,12,4074690,2,2020-03-22
"1","60-+","1",2020-03-22,0,12,557258,3,2020-03-22
"1","60-+","2",2020-03-22,1,12,500271,4,2020-03-22
"2","0-59","1",2020-03-22,0,12,624067,5,2020-03-22
"2","0-59","2",2020-03-22,0,12,555371,6,2020-03-22
"2","60-+","1",2020-03-22,0,12,176506,7,2020-03-22
"2","60-+","2",2020-03-22,0,12,126073,8,2020-03-22
"1","0-59","1",2020-03-23,0,13,4190359,1,2020-03-23
"1","0-59","2",2020-03-23,2,13,4074690,2,2020-03-23
"1","60-+","1",2020-03-23,0,13,557258,3,2020-03-23
"1","60-+","2",2020-03-23,1,13,500271,4,2020-03-23
"2","0-59","1",2020-03-23,0,13,624067,5,2020-03-23
"2","0-59","2",2020-03-23,0,13,555371,6,2020-03-23
"2","60-+","1",2020-03-23,0,13,176506,7,2020-03-23
"2","60-+","2",2020-03-23,0,13,126073,8,2020-03-23
"1","0-59","1",2020-03-24,0,13,4190359,1,2020-03-24
"1","0-59","2",2020-03-24,0,13,4074690,2,2020-03-24
"1","60-+","1",2020-03-24,0,13,557258,3,2020-03-24
"1","60-+","2",2020-03-24,0,13,500271,4,2020-03-24
"2","0-59","1",2020-03-24,0,13,624067,5,2020-03-24
"2","0-59","2",2020-03-24,0,13,555371,6,2020-03-24
"2","60-+","1",2020-03-24,0,13,176506,7,2020-03-24
"2","60-+","2",2020-03-24,0,13,126073,8,2020-03-24
"1","0-59","1",2020-03-25,0,13,4190359,1,2020-03-25
"1","0-59","2",2020-03-25,0,13,4074690,2,2020-03-25
"1","60-+","1",2020-03-25,0,13,557258,3,2020-03-25
"1","60-+","2",2020-03-25,0,13,500271,4,2020-03-25
"2","0-59","1",2020-03-25,0,13,624067,5,2020-03-25
"2","0-59","2",2020-03-25,0,13,555371,6,2020-03-25
"2","60-+","1",2020-03-25,0,13,176506,7,2020-03-25
"2","60-+","2",2020-03-25,0,13,126073,8,2020-03-25
"1","0-59","1",2020-03-26,1,13,4190359,1,2020-03-26
"1","0-59","2",2020-03-26,0,13,4074690,2,2020-03-26
"1","60-+","1",2020-03-26,0,13,557258,3,2020-03-26
"1","60-+","2",2020-03-26,2,13,500271,4,2020-03-26
"2","0-59","1",2020-03-26,0,13,624067,5,2020-03-26
"2","0-59","2",2020-03-26,0,13,555371,6,2020-03-26
"2","60-+","1",2020-03-26,0,13,176506,7,2020-03-26
"2","60-+","2",2020-03-26,0,13,126073,8,2020-03-26
"1","0-59","1",2020-03-27,0,13,4190359,1,2020-03-27
"1","0-59","2",2020-03-27,1,13,4074690,2,2020-03-27
"1","60-+","1",2020-03-27,1,13,557258,3,2020-03-27
"1","60-+","2",2020-03-27,0,13,500271,4,2020-03-27
"2","0-59","1",2020-03-27,0,13,624067,5,2020-03-27
"2","0-59","2",2020-03-27,0,13,555371,6,2020-03-27
"2","60-+","1",2020-03-27,0,13,176506,7,2020-03-27
